,"State, Territory, or District",Death_Penalty?,Gubernatoral_Moratoria
0,California,1.0,1
1,Texas,1.0,0
2,Florida,1.0,0
3,New York,0.0,0
4,Illinois,0.0,0
5,Pennsylvania,1.0,1
6,Ohio,1.0,0
7,Georgia,1.0,0
8,Michigan,0.0,0
9,North Carolina,1.0,0
10,New Jersey,0.0,0
11,Virginia,1.0,0
12,Washington,0.0,0
13,Massachusetts,0.0,0
14,Arizona,1.0,0
15,Indiana,1.0,0
16,Tennessee,1.0,0
17,Missouri,1.0,0
18,Maryland,0.0,0
19,Wisconsin,0.0,0
20,Minnesota,0.0,0
21,Colorado,1.0,1
22,South Carolina,1.0,0
23,Alabama,1.0,0
24,Louisiana,1.0,0
25,Kentucky,1.0,0
26,Oregon,1.0,1
27,Oklahoma,1.0,0
28,Connecticut,0.0,0
29,Puerto Rico,,0
30,Iowa,0.0,0
31,Mississippi,1.0,0
32,Arkansas,1.0,0
33,Utah,1.0,0
34,Kansas,1.0,0
35,Nevada,1.0,0
36,New Mexico,0.0,0
37,Nebraska,1.0,0
38,West Virginia,0.0,0
39,Idaho,1.0,0
40,Hawaii,0.0,0
41,Maine,0.0,0
42,New Hampshire,0.0,0
43,Rhode Island,0.0,0
44,Montana,1.0,0
45,Delaware,0.0,0
46,South Dakota,1.0,0
47,Alaska,0.0,0
48,North Dakota,0.0,0
49,District of Columbia,0.0,0
50,Vermont,0.0,0
51,Wyoming,1.0,0
52,Guam,,0
53,US Virgin Islands,,0
54,Northern Mariana Islands,,0
55,American Samoa,,0
